Artist,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,set,K44
Ne-Yo,Never Knew I Needed,76ati4YtRJe4vkpcL5VFy5,0.646,0.787,1,-4.907,1,0.0373,0.1,1.01e-05,0.133,0.784,141.946,audio_features,spotify:track:76ati4YtRJe4vkpcL5VFy5,https://api.spotify.com/v1/tracks/76ati4YtRJe4vkpcL5VFy5,https://api.spotify.com/v1/audio-analysis/76ati4YtRJe4vkpcL5VFy5,217013,4,N,6
O-Zone,De Ce Plang Chitarele,7wCQi2BCJw7RsnkKS8BCm0,0.746,0.922,9,-4.603,0,0.0306,0.0131,9.91e-06,0.128,0.964,130.02,audio_features,spotify:track:7wCQi2BCJw7RsnkKS8BCm0,https://api.spotify.com/v1/tracks/7wCQi2BCJw7RsnkKS8BCm0,https://api.spotify.com/v1/audio-analysis/7wCQi2BCJw7RsnkKS8BCm0,250827,4,N,23
Heart,Cruel Nights,3n7g6I124Hn9BeQC9WjU5y,0.879,0.606,4,-4.61,0,0.0668,0.902,2.91e-05,0.106,0.243,120.015,audio_features,spotify:track:3n7g6I124Hn9BeQC9WjU5y,https://api.spotify.com/v1/tracks/3n7g6I124Hn9BeQC9WjU5y,https://api.spotify.com/v1/audio-analysis/3n7g6I124Hn9BeQC9WjU5y,146005,4,N,0
XTC,Dying,1XT5kxg6Tk0ukCO2vBQN4v,0.632,0.893,7,-6.04,1,0.0455,0.0143,5.24e-06,0.0741,0.773,149.97,audio_features,spotify:track:1XT5kxg6Tk0ukCO2vBQN4v,https://api.spotify.com/v1/tracks/1XT5kxg6Tk0ukCO2vBQN4v,https://api.spotify.com/v1/audio-analysis/1XT5kxg6Tk0ukCO2vBQN4v,253800,4,N,25
Nicki Minaj,Right By My Side,7wc0tve9c0I9DaH84ci8Fz,0.688,0.874,10,-4.127,0,0.06,0.0113,0.592,0.124,0.633,162.046,audio_features,spotify:track:7wc0tve9c0I9DaH84ci8Fz,https://api.spotify.com/v1/tracks/7wc0tve9c0I9DaH84ci8Fz,https://api.spotify.com/v1/audio-analysis/7wc0tve9c0I9DaH84ci8Fz,265038,4,N,14
James Taylor,Don't Let Me Be Lonely Tonight,0SHFf1goWCyv8UKZdpHIcS,0.616,0.18,2,-16.876,1,0.0351,0.809,0.182,0.129,0.306,75.726,audio_features,spotify:track:0SHFf1goWCyv8UKZdpHIcS,https://api.spotify.com/v1/tracks/0SHFf1goWCyv8UKZdpHIcS,https://api.spotify.com/v1/audio-analysis/0SHFf1goWCyv8UKZdpHIcS,155343,4,N,10
Rihanna,Roc Me Out,4GF00uRxC4ECrxNEbnapqf,0.506,0.909,8,-3.629,1,0.0528,0.0261,0.0,0.155,0.814,168.021,audio_features,spotify:track:4GF00uRxC4ECrxNEbnapqf,https://api.spotify.com/v1/tracks/4GF00uRxC4ECrxNEbnapqf,https://api.spotify.com/v1/audio-analysis/4GF00uRxC4ECrxNEbnapqf,200267,4,N,25
Incubus,Echo,7nnWIPM5hwE3DaUBkvOIpy,0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,audio_features,spotify:track:7nnWIPM5hwE3DaUBkvOIpy,https://api.spotify.com/v1/tracks/7nnWIPM5hwE3DaUBkvOIpy,https://api.spotify.com/v1/audio-analysis/7nnWIPM5hwE3DaUBkvOIpy,232453,4,N,18
Uncle Kracker,To Think I Used To Love You,4KoecuyOpZaNFZ0UqVsllc,0.817,0.585,5,-4.688,1,0.0301,0.439,0.0,0.147,0.916,105.014,audio_features,spotify:track:4KoecuyOpZaNFZ0UqVsllc,https://api.spotify.com/v1/tracks/4KoecuyOpZaNFZ0UqVsllc,https://api.spotify.com/v1/audio-analysis/4KoecuyOpZaNFZ0UqVsllc,218440,4,N,5
Van Halen,Spanked,05RgAMGypEvqhNs5hPCbMS,0.526,0.978,8,-5.436,1,0.108,0.00122,4.75e-05,0.0744,0.451,141.167,audio_features,spotify:track:05RgAMGypEvqhNs5hPCbMS,https://api.spotify.com/v1/tracks/05RgAMGypEvqhNs5hPCbMS,https://api.spotify.com/v1/audio-analysis/05RgAMGypEvqhNs5hPCbMS,210227,4,N,1
Phil Collins,It's Over,2eqzI3kGqPk93vz8RkASfA,0.643,0.199,0,-12.19,1,0.0581,0.869,0.0,0.106,0.386,46.572,audio_features,spotify:track:2eqzI3kGqPk93vz8RkASfA,https://api.spotify.com/v1/tracks/2eqzI3kGqPk93vz8RkASfA,https://api.spotify.com/v1/audio-analysis/2eqzI3kGqPk93vz8RkASfA,138006,4,N,10
Qntal,Palestinalied,1bkuVGBjHHFS9zLqwUNHvi,0.594,0.59,6,-9.083,0,0.0338,0.738,0.0129,0.103,0.544,88.052,audio_features,spotify:track:1bkuVGBjHHFS9zLqwUNHvi,https://api.spotify.com/v1/tracks/1bkuVGBjHHFS9zLqwUNHvi,https://api.spotify.com/v1/audio-analysis/1bkuVGBjHHFS9zLqwUNHvi,356693,4,N,0
Pitbull,We Run The Night,0mtPNQl5vePVwiI9Vykp7L,0.697,0.861,9,-4.389,0,0.144,0.00482,1.83e-06,0.41,0.703,127.023,audio_features,spotify:track:0mtPNQl5vePVwiI9Vykp7L,https://api.spotify.com/v1/tracks/0mtPNQl5vePVwiI9Vykp7L,https://api.spotify.com/v1/audio-analysis/0mtPNQl5vePVwiI9Vykp7L,228200,4,N,23
Ufo,Only You Can Rock Me,24EisNEqlW4DYqaNepFM5k,0.361,0.795,6,-7.927,0,0.0401,0.000428,0.00133,0.0775,0.517,126.568,audio_features,spotify:track:24EisNEqlW4DYqaNepFM5k,https://api.spotify.com/v1/tracks/24EisNEqlW4DYqaNepFM5k,https://api.spotify.com/v1/audio-analysis/24EisNEqlW4DYqaNepFM5k,248520,4,N,8
Ozzy Osbourne,Bark At The Moon,5axOkQnmQmwtjr4bv1Xt7i,0.578,0.937,5,-3.926,1,0.0724,0.000963,2.25e-06,0.4,0.769,137.937,audio_features,spotify:track:5axOkQnmQmwtjr4bv1Xt7i,https://api.spotify.com/v1/tracks/5axOkQnmQmwtjr4bv1Xt7i,https://api.spotify.com/v1/audio-analysis/5axOkQnmQmwtjr4bv1Xt7i,239827,4,N,38
Journey,Troubled Child,2NgN6KnSjxyjWUYRuTe0ei,0.529,0.578,1,-8.613,0,0.364,0.084,0.0,0.138,0.0952,82.073,audio_features,spotify:track:2NgN6KnSjxyjWUYRuTe0ei,https://api.spotify.com/v1/tracks/2NgN6KnSjxyjWUYRuTe0ei,https://api.spotify.com/v1/audio-analysis/2NgN6KnSjxyjWUYRuTe0ei,196419,4,N,39
Tim McGraw,Don't Take The Girl,2wmEryA2YLaFwFvA63n3O2,0.439,0.454,0,-8.669,1,0.0308,0.279,0.0,0.123,0.354,204.263,audio_features,spotify:track:2wmEryA2YLaFwFvA63n3O2,https://api.spotify.com/v1/tracks/2wmEryA2YLaFwFvA63n3O2,https://api.spotify.com/v1/audio-analysis/2wmEryA2YLaFwFvA63n3O2,249360,4,N,11
Lenny Kravitz,Believe,1OxcIUqVmVYxT6427tbhDW,0.587,0.872,7,-5.066,1,0.0484,0.018,0.0,0.622,0.735,159.925,audio_features,spotify:track:1OxcIUqVmVYxT6427tbhDW,https://api.spotify.com/v1/tracks/1OxcIUqVmVYxT6427tbhDW,https://api.spotify.com/v1/audio-analysis/1OxcIUqVmVYxT6427tbhDW,221333,4,N,43
Emmylou Harris,Hickory Wind,41QWKQjT6riBhHAGYHU9Xu,0.338,0.447,7,-11.091,1,0.0411,0.408,0.0,0.402,0.326,79.005,audio_features,spotify:track:41QWKQjT6riBhHAGYHU9Xu,https://api.spotify.com/v1/tracks/41QWKQjT6riBhHAGYHU9Xu,https://api.spotify.com/v1/audio-analysis/41QWKQjT6riBhHAGYHU9Xu,245203,4,N,41
The Jam,In The City,250dZY8xYbhHGQpM6bgL52,0.374,0.817,7,-9.133,1,0.0488,0.00108,6.63e-05,0.336,0.918,177.138,audio_features,spotify:track:250dZY8xYbhHGQpM6bgL52,https://api.spotify.com/v1/tracks/250dZY8xYbhHGQpM6bgL52,https://api.spotify.com/v1/audio-analysis/250dZY8xYbhHGQpM6bgL52,137800,4,N,11
Carly Simon,James,74UWXHeikO5C3ScEREk42E,0.716,0.753,3,-12.407,1,0.0368,0.0532,0.000619,0.183,0.952,113.404,audio_features,spotify:track:74UWXHeikO5C3ScEREk42E,https://api.spotify.com/v1/tracks/74UWXHeikO5C3ScEREk42E,https://api.spotify.com/v1/audio-analysis/74UWXHeikO5C3ScEREk42E,254240,4,N,6
