Artist,Title
Paul McCartney ,Wonderful Christmastime  Edited Version / Remastered 2011
Tyler Hubbard ,5 Foot 9
Calvin Harris ,This Is What You Came For
Lil Durk ,The Voice
Kodak Black ,I Wish
Isaiah Rashad ,True Story
Brantley Gilbert ,Bottoms Up
Joji ,Run
Doja Cat ,I Don't Do Drugs
DJ Khaled ,I'm the One
YG ,TOO BRAZY
Luis Fonsi ,Échame La Culpa
Usher ,Bad Habits
Sam Hunt ,Body Like A Back Road
Dreamville ,Rembrandt...Run It Back
Miley Cyrus ,The Most
Eminem ,Go To Sleep
Trippie Redd ,Molly Hearts
Major Lazer ,Lean On
Hozier ,Swan Upon Leda
Alicia Keys ,Blended Family (What You Do For Love)
Machine Gun Kelly ,die in california
Drake ,Papi’s Home
21 Savage ,Steppin On Niggas
Bad Bunny ,TE MUDASTE
Flo Rida ,Dirty Mind
Nelly ,Lil Bit
Charli XCX ,Used To Know Me
Young Thug ,Hop Off A Jet
Dua Lipa ,Fever
John Mayer ,All I Want Is to Be With You
Gang Starr ,Family and Loyalty
ROZES ,Christmas (Baby Please Come Home)
Vince Guaraldi Trio ,Christmas Time Is Here
Rihanna ,American Oxygen
Kacey Musgraves ,Biscuits
John Mayer ,Still Feel Like Your Man
Halsey ,Sorry
TOMORROW X TOGETHER ,Good Boy Gone Bad
TV Girl ,Lovers Rock
Frank Ocean ,In My Room
Kygo ,Stranger Things
Lady Gaga ,Shallow
J. Cole ,everybody dies
Huncho Jack ,Modern Slavery
Lil Uzi Vert ,Just Wanna Rock
ZAYN ,PILLOWTALK
Trippie Redd ,Dreamer
Aretha Franklin ,Respect
Lady Gaga ,Come To Mama
Lil Wayne ,YM Wasted
Gucci Mane ,Solitaire
Lana Del Rey ,Terrence Loves You
Juice WRLD ,Legends
XXXTENTACION ,I Changed Her Life
Dream ,Roadtrip
Earl Sweatshirt ,Sick!
Thomas Rhett ,Leave Right Now
YoungBoy Never Broke Again ,House Arrest Tingz
Childish Gambino ,3005
Ski Mask The Slump God ,Adults Swim
Migos ,CC
Gene Autry ,Frosty the Snowman  78rpm Version
Gryffin ,Hold You Tonight
Drake ,When To Say When
Bing Crosby ,Do You Hear What I Hear?
Myke Towers ,Bandido
Rick Ross ,Sorry
ScHoolboy Q ,Lord Have Mercy
Wiz Khalifa ,Bammer
Kacey Musgraves ,if this was a movie..
Big Sean ,Wolves
Lady Gaga ,Born This Way
Florence + The Machine ,Ship To Wreck
Maren Morris ,Better Than We Found It
Stevie Wonder ,"Signed, Sealed, Delivered (I'm Yours)"
Lana Del Rey ,Lust for Life
BROCKHAMPTON ,DISTRICT
Kevin Abstract ,Peach
Nicki Minaj ,Nip Tuck
Luke Combs ,Tomorrow Me
Jack Harlow ,Nail Tech
Future ,RED LIGHT
Trippie Redd ,I Got You (ft. Busta Rhymes)
Young Thug ,High
CKay ,love nwantiti
Wiz Khalifa ,Something New
Troye Sivan ,TALK ME DOWN
21 Savage ,ball w/o you
Flo Rida ,Hello Friday
Duran Duran ,Hungry Like the Wolf  2009 Remaster
NF ,Time  Extended
Ariana Grande ,bloodline
6ix9ine ,KANGA
Gwen Stefani ,Misery
Kendrick Lamar ,"Bitch, Don’t Kill My Vibe"
Hailee Steinfeld ,Rock Bottom
Travis Scott ,HOUSTONFORNICATION
Sia ,Santa's Coming For Us
Carlos Vives ,"Colombia, Mi Encanto"
Polo G ,Go Part 1
BROCKHAMPTON ,GINGER
YoungBoy Never Broke Again ,Ain't Easy
Jeremy Zucker ,emily
Kid Cudi ,Do What I Want
J. Cole ,Work Out
Morgan Wallen ,"Rednecks, Red Letters, Red Dirt"
Kane Brown ,Lose It
Taylor Swift ,tolerate it
Black Eyed Peas ,My Humps
Shawn Mendes ,Perfectly Wrong
Drake ,"Hold On, We're Going Home"
Trippie Redd ,Personal Favorite
Enrique Iglesias ,Bailando  Spanish Version
Unknown Artist ,Unknown Title
Juice WRLD ,Conversations
Rex Orange County ,OPEN A WINDOW
Jidenna ,Classic Man
Troye Sivan ,Take Yourself Home
Alec Benjamin ,Oh My God
YoungBoy Never Broke Again ,Fuck Ya!
Lil Baby ,Bruised Up
G,Eazy  For This
Metro Boomin ,Space Cadet
Lil Baby ,Rich Off Pain
Beyoncé ,VIRGO'S GROOVE
Rudimental ,Lay It All on Me
Future ,No Issue
Polo G ,My All
Future ,Ain't Livin Right
Lil Uzi Vert ,P2
Tom Petty and the Heartbreakers ,I Need To Know
GoldLink ,Crew REMIX
Ant Saunders ,Yellow Hearts
Pop Smoke ,Tell The Vision
Roddy Ricch ,thailand
King Von ,All These Niggas
RM ,Lonely
Bad Bunny ,La Zona
5 Seconds of Summer ,Broken Home
Lana Del Rey ,Norman fucking Rockwell
Troye Sivan ,YOUTH
A Boogie Wit da Hoodie ,Money Conversations
Lana Del Rey ,Fuck it I love you
Lil Baby ,Forever
5 Seconds of Summer ,2011
A Tribe Called Quest ,The Killing Season
Gucci Mane ,Enormous
G,Eazy  I Mean It
Trippie Redd ,This Ain't That
Lizzo ,Soulmate
Sage The Gemini ,Now and Later
Meek Mill ,Heavy Heart
Twenty One Pilots ,Fairly Local
Kehlani ,Serial Lover
Niall Horan ,Black And White
Harry Styles ,Watermelon Sugar
$uicideboy$ ,The Serpent and the Rainbow
Iggy Azalea ,Work
Calboy ,Envy Me
Ellie Goulding ,Codes
Coi Leray ,Blick Blick
Taylor Swift ,Daylight
Dreamville ,Oh Wow...Swerve
5 Seconds of Summer ,Waste The Night
John Lennon ,Happy Xmas (War Is Over)  Remastered
One Direction ,Clouds
The Chainsmokers ,Until You Were Gone
The Weeknd ,Starboy
Katy Perry ,Unconditionally
Marshmello ,Proud
Shawn Mendes ,Particular Taste
Summer Walker ,Me
Gucci Mane ,Just Like It
Kygo ,I'll Wait
Travis Scott ,R.I.P. SCREW
Juice WRLD ,From My Window
Juice WRLD ,Make It Back
Michael Bublé ,Have Yourself a Merry Little Christmas
Renée Elise Goldsberry ,Satisfied
Gucci Mane ,Publicity Stunt
Lil Baby ,Same Thing
Adele ,Send My Love (To Your New Lover)
One Direction ,Perfect
BTS ,I'm Fine
Conan Gray ,Overdrive
Morgan Wallen ,Thought You Should Know
Sage The Gemini ,Good Thing
Anuel AA ,Hasta Que Dios Diga
Lil Uzi Vert ,Go Off
Lana Del Rey ,How to disappear
blackbear ,1 SIDED LOVE
Trippie Redd ,PILL BREAKER
J. Cole ,Intro
Huncho Jack ,Motorcycle Patches
Ty Dolla $ign ,Wavy
